BIN	Q1_25	Q1_5	Q2	Q5	Q10	Q25	Q50	Q100	Q200	Q500
1000160	463	551	675	1060	1391	1887	2315	2830	3341	4161
1000190	2	3	4	7	9	12	15	19	22	28
1000200	1116	1330	1636	2581	3397	4627	5691	6984	8268	10338
1000210	331	402	504	825	1103	1525	1896	2333	2800	3539
1000220	316	384	483	791	1059	1467	1824	2246	2700	3418
1000270	1141	1359	1643	2409	2960	3682	4226	4845	5393	6252
1000280	127	152	186	277	344	433	500	577	646	753
1000330	1046	1186	1359	1818	2138	2553	2860	3213	3515	3997
1000340	530	620	735	1044	1270	1573	1805	2069	2309	2684
1000360	1081	1257	1479	2073	2494	3042	3454	3923	4337	4994
1000370	5432	6104	6916	9063	10564	12498	13930	15602	17001	19289
1000380	7	9	10	15	18	23	26	30	34	40
1000390	788	928	1108	1594	1947	2416	2774	3183	3553	4135
1000400	801	940	1118	1597	1943	2399	2744	3137	3489	4041
1000410	146	173	208	305	376	470	542	623	698	814
1000420	570	673	806	1167	1429	1776	2039	2338	2608	3029
1000430	827	978	1173	1698	2079	2584	2966	3403	3795	4409
1000440	2719	3152	3694	5138	6168	7517	8530	9698	10717	12342
1000470	829	977	1164	1669	2032	2511	2875	3290	3662	4248
1000530	3	4	5	8	10	13	15	18	21	24
1000540	16105	17665	19442	24206	27463	31683	34738	38410	41301	46134
1000560	793	941	1133	1654	2036	2549	2943	3393	3803	4446
1000580	15168	16583	18194	22525	25490	29344	32131	35488	38121	42526
1000590	29	35	43	65	82	104	121	140	158	186
1000610	158	190	233	348	431	539	620	710	792	919
1000640	2705	3116	3619	4946	5855	7001	7842	8805	9620	10944
1000730	310	362	429	607	731	889	1006	1138	1253	1434
1000740	4935	5509	6186	7964	9156	10672	11758	13033	14051	15721
1000760	huc12_data281	335	404	590	721	887	1011	1148	1270	1463
1000770	33	41	50	77	96	121	140	161	181	210
1000780	912	1045	1207	1634	1922	2287	2551	2852	3105	3508
1000800	1052	1182	1339	1750	2026	2379	2631	2922	3161	3541
1000830	1320	1580	1912	2803	3419	4201	4772	5418	5973	6851
1000860	184	229	289	457	580	743	867	1005	1131	1325
1000920	258	311	387	616	808	1088	1324	1601	1872	2295
1001030	1104	1312	1575	2290	2804	3485	4002	4593	5123	5956
1001090	1219	1449	1742	2529	3082	3797	4328	4931	5459	6291
1001140	246	300	371	567	711	902	1047	1211	1362	1595
1001150	1319	1582	1920	2836	3487	4332	4964	5682	6316	7315
1001160	244	305	396	672	897	1217	1499	1789	2100	2563
1001170	1363	1641	2034	3170	4044	5260	6308	7360	8475	10096
1001180	160	202	265	456	612	833	1026	1226	1439	1756
1001190	170	216	285	498	673	924	1146	1376	1623	1991
1001200	198	249	324	550	732	987	1210	1437	1679	2036
1001210	408	515	671	1153	1546	2107	2601	3110	3658	4473
1001230	228	283	363	598	781	1033	1250	1467	1698	2033
1001240	1319	1624	2064	3376	4410	5869	7134	8422	9800	11821
1001250	319	398	512	854	1124	1498	1821	2147	2495	3003
1001290	833	1024	1297	2102	2729	3601	4351	5109	5915	7090
1001300	822	1008	1274	2057	2665	3512	4241	4976	5758	6897
1001350	163	196	244	372	464	584	684	779	878	1017
1001360	931	1105	1346	2001	2470	3094	3611	4111	4633	5367
1001370	158	194	244	385	489	627	743	855	973	1141
1001380	2600	3070	3721	5521	6835	8620	10120	11589	13133	15325
1001650	1053	1216	1418	1910	2233	2643	2939	3227	3542	3928
1001660	684	816	983	1413	1707	2091	2376	2661	2967	3361
1001690	2162	2574	3108	4485	5433	6702	7639	8602	9634	10992
1001720	379	460	562	821	993	1215	1376	1537	1705	1921
