HUC_12	HU_12_NAME	BIN	CROSSED	y	x
20301030204	Middle Ramapo River	3346140	RAMAPO RIVER	41.125047	-74.16449
20301030204	Middle Ramapo River	1027590	RAMAPO RIVER	41.132272	-74.167019
20301030204	Middle Ramapo River	2346230	RAMAPO RIVER	41.140479	-74.168398
11000060403	Byram River	1091459	BYRAM RIVER	41.136756	-73.701354
20301030102	Ringwood River	3345050	RINGWOOD RIVER	41.152594	-74.240056
20301030204	Middle Ramapo River	1050420	RAMAPO RIVER	41.161655	-74.189339
20301030204	Middle Ramapo River	1050430	RAMAPO RIVER	41.161791	-74.188577
20301030202	Stony Brook	3364720	STONY BROOK	41.162402	-74.185828
20301030202	Stony Brook	3364790	STONY BROOK	41.163917	-74.183545
20301030202	Stony Brook	3364710	STONY BROOK	41.166326	-74.180297
20301030204	Middle Ramapo River	3346170	RAMAPO RIVER	41.16806	-74.190765
20301030202	Stony Brook	5521380	STONY BROOK	41.169181	-74.176327
20301030202	Stony Brook	5521400	LAKE SEBAGO DAM	41.191163	-74.1398
20301010306	Kisco River	1037190	KISCO RIVER	41.190444	-73.729977
20301030204	Middle Ramapo River	3345060	RAMAPO RIVER	41.195534	-74.183391
20301010306	Kisco River	3347960	KISCO RIVER	41.1947	-73.732864
11000060401	Rippowam River	2270400	Stamford Mill Riv	41.192773	-73.561185
11000060402	Mianus River	2224930	MIANUS RIVER	41.194173	-73.624118
11000060402	Mianus River	3347940	MIANUS RIVER	41.195249	-73.643311
20301010306	Kisco River	5500939	KISCO RIVER	41.201361	-73.740607
11000060402	Mianus River	2224920	MIANUS RIVER	41.201753	-73.632784
20301010306	Kisco River	1037740	KISCO RIVER	41.208299	-73.740832
20301010307	Bailey Brook-Croton River	3348560	CROTON RIVER	41.211972	-73.869111
11000060401	Rippowam River	2265540	MILL RIVER	41.209538	-73.554853
20301010104	Minisceongo Creek	3345900	MINISCEONGO CREEK	41.219414	-74.04423
20301010104	Minisceongo Creek	2364780	MINISCEONGO CREEK	41.219795	-74.035874
20301010304	Stone Hill River	1037400	STONE HILL RIVER	41.215884	-73.631894
20301010304	Stone Hill River	1091152	BROAD BROOK	41.218756	-73.685159
20301010304	Stone Hill River	1091151	BROAD BROOK	41.220472	-73.685482
20301010304	Stone Hill River	2224910	BEAVER DAM CREEK	41.220205	-73.646954
20301030101	Upper Wanaque River	1014110	GREENWOOD LK OUTL	41.22759	-74.287487
20301030201	Upper Ramapo River	1040840	RAMAPO RIVER	41.228081	-74.183063
11000060201	Silvermine River	3348520	NORWALK RESERVOIR	41.221819	-73.4961
20301010307	Bailey Brook-Croton River	3348900	CROTON RIVER	41.226547	-73.858121
20301010307	Bailey Brook-Croton River	2265510	CROTON RES OUTLET	41.227608	-73.857067
20301010104	Minisceongo Creek	3345840	MINISCEONGO CREEK	41.230093	-74.061137
20301010304	Stone Hill River	1016590	STONE HILL RIVER	41.22655	-73.656874
20301010105	Furnace Brook-Hudson River	3348460	FURNACE BROOK	41.229603	-73.922948
20301010304	Stone Hill River	3348320	BROAD BROOK	41.228346	-73.688785
20200070202	Lower Wawayanda Creek	1034800	DOUBLE KILL	41.234413	-74.4144
20301010105	Furnace Brook-Hudson River	3348450	FURNACE BROOK	41.231115	-73.905941
20200070202	Lower Wawayanda Creek	2223440	DOUBLE KILL	41.235036	-74.414514
20200070202	Lower Wawayanda Creek	3345240	WAWAYANDA  CREEK	41.236401	-74.415695
20301010103	Cedar Pond Brook	1091520	CEDAR POND BROOK	41.234794	-74.009521
20301010304	Stone Hill River	3348410	BEAVER DAM CREEK	41.23132	-73.657703
20301010307	Bailey Brook-Croton River	2262070	NEW CROTON RESV.	41.233528	-73.802442
20301010306	Kisco River	2265220	KISCO RIVER	41.234594	-73.748441
20301010103	Cedar Pond Brook	1091530	CEDAR POND BROOK	41.237695	-74.022126
20200070202	Lower Wawayanda Creek	3345290	WAWAYANDA CREEK	41.241684	-74.409442
20301030202	Stony Brook	5521410	ASKOTI DAM	41.240868	-74.102074
20200070201	Upper Wawayanda Creek	1034810	MEADOW STREAM	41.24276	-74.371266
20301010105	Furnace Brook-Hudson River	2262330	FURNACE BROOK	41.239998	-73.898222
20200070201	Upper Wawayanda Creek	3360140	LONG HOUSE CREEK	41.244435	-74.311431
20301030201	Upper Ramapo River	5521470	RAMAPO RIVER	41.244364	-74.171923
20200070202	Lower Wawayanda Creek	3345310	WAWAYANDA CREEK	41.247016	-74.39555
20301010103	Cedar Pond Brook	1068870	LAKE TIORATI BRK	41.245602	-74.030482
20200070201	Upper Wawayanda Creek	1014100	LONG HOUSE CREEK	41.249906	-74.310015
20200070202	Lower Wawayanda Creek	2223430	WAWAYANDA CREEK	41.250864	-74.390621
20200070202	Lower Wawayanda Creek	3345250	WAWAYANDA CREEK	41.251078	-74.380135
20301010103	Cedar Pond Brook	1068880	LAKE TIORATI BRK	41.248911	-74.03843
20200070201	Upper Wawayanda Creek	3345170	WARWICK RES OUTLT	41.251308	-74.356361
20301010103	Cedar Pond Brook	5521490	TIORATI BROOK	41.24921	-74.042008
